treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
object category "I_CONS_Mushrooms_RoguesMorsel",1,0,0,0,0,0,0,0
object category "I_CONS_Mushrooms_Bonecap",1,0,0,0,0,0,0,0
new treasuretable "ST_Burrow_Food"
new subtable "1,1"
object category "I_CONS_FOOD_Vegetable_Carrot",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Fruit_Apple",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Fruit_Pear",1,0,0,0,0,0,0,0
new treasuretable "ST_Burrow_Junk"
new subtable "1,1"
object category "I_CONS_FOOD_Vegetable_Carrot_A_Rotten",1,0,0,0,0,0,0,0
object category "I_CONS_Fungi_Mushroom_Agaric_A_Rotten",1,0,0,0,0,0,0,0
object category "I_CONS_Fungi_Mushroom_Agaric_B_Rotten",1,0,0,0,0,0,0,0
object category "I_OBJ_Bone",1,0,0,0,0,0,0,0
new treasuretable "GEN_Burrow"
new subtable "1,1; 2,3"
object category "T_Gold_Meager",1,0,0,0,0,0,0,0
object category "T_ST_Burrow_Ingredients",3,0,0,0,0,0,0,0
object category "T_ST_Burrow_Food",3,0,0,0,0,0,0,0
object category "T_ST_Burrow_Junk",1,0,0,0,0,0,0,0
new treasuretable "GEN_Nest_Small"
new subtable "1,1"
object category "I_CONS_FOOD_Egg_WildBird",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Egg_Rotten",1,0,0,0,0,0,0,0
object category "T_Valuables_Jewelry",1,0,0,0,0,0,0,0
new treasuretable "ST_Stash_Hunter_Potions"
new subtable "1,1"
object category "T_Alchemy_Potion_Healing",2,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Of_Animal_Speaking",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Potion_Jump",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Of_Speed",1,0,0,0,0,0,0,0
object category "I_OBJ_Antitoxin",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Oil_AttackBuff",1,0,0,0,0,0,0,0
new treasuretable "GEN_Stash_Hunter"
new subtable "1,1"
object category "T_Gold_Stash_Poor",2,0,0,0,0,0,0,0
object category "T_Gold_Stash_Modest",2,0,0,0,0,0,0,0
object category "T_Gold_Stash_Normal",1,0,0,0,0,0,0,0
new subtable "1,1;2,1;3,1"
object category "T_ST_Stash_Hunter_Potions",4,0,0,0,0,0,0,0
object category "T_ST_SpecialArrow_Common",2,0,0,0,0,0,0,0
new treasuretable "GEN_Toy"
new subtable "1,1"
object category "I_Toy_SmallBall",1,0,0,0,0,0,0,0
object category "I_Toy_TeddyBear_Clean",1,0,0,0,0,0,0,0
object category "I_Toy_TeddyBear_Worn",1,0,0,0,0,0,0,0
object category "I_Toy_WoodenBlock_A",1,0,0,0,0,0,0,0
object category "I_Toy_WoodenBlock_B",1,0,0,0,0,0,0,0
object category "I_Toy_WoodenBlock_C",1,0,0,0,0,0,0,0
object category "I_Toy_WoodenBlock_D",1,0,0,0,0,0,0,0
new treasuretable "GEN_Toy_Supply"
new subtable "2,2;3,2;4,1"
object category "T_GEN_Toy",1,0,0,0,0,0,0,0
new treasuretable "ST_Alchemy_Herb"
new subtable "1,1"
EndLevel "5"
object category "I_CONS_Herbs_Mugwort",3,0,0,0,0,0,0,0
object category "I_CONS_Herbs_Balsam",0,0,0,0,0,0,0,0
object category "I_CONS_Herbs_Daggeroot",2,0,0,0,0,0,0,0
object category "I_CONS_Herbs_Mergrass",1,0,0,0,0,0,0,0
object category "I_CONS_Herbs_Wispweed",1,0,0,0,0,0,0,0
object category "I_CONS_Herbs_Autumncrocus",1,0,0,0,0,0,0,0
object category "I_CONS_Herbs_Belladonna",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "6"
EndLevel "8"
object category "I_CONS_Herbs_Mugwort",2,0,0,0,0,0,0,0
object category "I_CONS_Herbs_Balsam",1,0,0,0,0,0,0,0
object category "I_CONS_Herbs_Daggeroot",2,0,0,0,0,0,0,0
object category "I_CONS_Herbs_Mergrass",1,0,0,0,0,0,0,0
object category "I_CONS_Herbs_Wispweed",1,0,0,0,0,0,0,0
object category "I_CONS_Herbs_Autumncrocus",1,0,0,0,0,0,0,0
object category "I_CONS_Herbs_Belladonna",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "9"
object category "I_CONS_Herbs_Mugwort",1,0,0,0,0,0,0,0
object category "I_CONS_Herbs_Balsam",1,0,0,0,0,0,0,0
object category "I_CONS_Herbs_Daggeroot",1,0,0,0,0,0,0,0
object category "I_CONS_Herbs_Mergrass",1,0,0,0,0,0,0,0
object category "I_CONS_Herbs_Wispweed",1,0,0,0,0,0,0,0
object category "I_CONS_Herbs_Autumncrocus",1,0,0,0,0,0,0,0
object category "I_CONS_Herbs_Belladonna",1,0,0,0,0,0,0,0
new treasuretable "ST_Alchemy_Herb_Rare"
new subtable "1,1"
EndLevel "5"
object category "I_CONS_Herbs_Balsam",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_YellowMuskCreeper",0,0,0,0,0,0,0,0
object category "I_CONS_Herbs_Weavemoss",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "6"
EndLevel "8"
object category "I_CONS_Herbs_Balsam",0,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_YellowMuskCreeper",1,0,0,0,0,0,0,0
object category "I_CONS_Herbs_Weavemoss",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "9"
object category "I_CONS_Herbs_Balsam",0,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_YellowMuskCreeper",1,0,0,0,0,0,0,0
object category "I_CONS_Herbs_Weavemoss",1,0,0,0,0,0,0,0
object category "I_SCL_Distillery_PurpleWormPoisonIngredient",1,0,0,0,0,0,0,0
new treasuretable "ST_Alchemy_Mushroom_Common"
new subtable "1,1"
EndLevel "5"
object category "I_CONS_Mushrooms_RoguesMorsel",3,0,0,0,0,0,0,0
object category "I_CONS_Mushrooms_DragonEggMushroom",1,0,0,0,0,0,0,0
object category "I_CONS_Mushrooms_BullywugTrumpet",1,0,0,0,0,0,0,0
object category "I_CONS_Mushrooms_Bonecap",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "6"
EndLevel "8"
object category "I_CONS_Mushrooms_RoguesMorsel",2,0,0,0,0,0,0,0
object category "I_CONS_Mushrooms_DragonEggMushroom",1,0,0,0,0,0,0,0
object category "I_CONS_Mushrooms_BullywugTrumpet",0,0,0,0,0,0,0,0
object category "I_CONS_Mushrooms_Bonecap",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "9"
object category "I_CONS_Mushrooms_RoguesMorsel",1,0,0,0,0,0,0,0
object category "I_CONS_Mushrooms_DragonEggMushroom",1,0,0,0,0,0,0,0
object category "I_CONS_Mushrooms_BullywugTrumpet",0,0,0,0,0,0,0,0
new treasuretable "ST_Alchemy_Mushroom_Rare"
new subtable "1,1"
EndLevel "5"
object category "I_CONS_Mushrooms_SilvanTruffle",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "6"
EndLevel "8"
object category "I_CONS_Mushrooms_SilvanTruffle",1,0,0,0,0,0,0,0
object category "I_CONS_Mushrooms_TongueOfMadness",1,0,0,0,0,0,0,0
object category "I_CONS_Mushrooms_Nightlight_Piece",1,0,0,0,0,0,0,0
object category "I_CONS_Mushrooms_SwarmingToadstool",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "9"
object category "I_CONS_Mushrooms_SilvanTruffle",1,0,0,0,0,0,0,0
object category "I_CONS_Mushrooms_TongueOfMadness",1,0,0,0,0,0,0,0
object category "I_CONS_Mushrooms_Nightlight_Piece",1,0,0,0,0,0,0,0
object category "I_CONS_Mushrooms_SwarmingToadstool",1,0,0,0,0,0,0,0
new treasuretable "ST_Alchemy_Mushroom_Underdark"
new subtable "1,1"
object category "I_CONS_Mushrooms_RoguesMorsel",1,0,0,0,0,0,0,0
object category "I_CONS_Mushrooms_BullywugTrumpet",1,0,0,0,0,0,0,0
object category "I_CONS_Mushrooms_SwarmingToadstool",1,0,0,0,0,0,0,0
object category "I_CONS_Mushrooms_DragonEggMushroom",1,0,0,0,0,0,0,0
object category "I_CONS_Mushrooms_Nightlight_Piece",1,0,0,0,0,0,0,0
new treasuretable "ST_Alchemy_Loot_Common"
new subtable "1,1"
EndLevel "5"
object category "I_ALCH_Ingredient_Part_HyenaEar",1,0,0,0,0,0,0,0
object category "I_OBJ_Crystal_Laculite",0,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_MudMephitWing",0,0,0,0,0,0,0,0
object category "I_OBJ_Crystal_Viridian",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_FireAmber",3,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_SpiderGland",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_WorgFang",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "6"
EndLevel "8"
object category "I_ALCH_Ingredient_Part_HyenaEar",1,0,0,0,0,0,0,0
object category "I_OBJ_Crystal_Laculite",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_MudMephitWing",1,0,0,0,0,0,0,0
object category "I_OBJ_Crystal_Viridian",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_OchreJellySlime",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_FireAmber",2,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_SnakeFang",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_SpiderGland",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_WorgFang",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_Nothic",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "9"
object category "I_ALCH_Ingredient_Part_HyenaEar",1,0,0,0,0,0,0,0
object category "I_OBJ_Crystal_Laculite",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_MudMephitWing",1,0,0,0,0,0,0,0
object category "I_OBJ_Crystal_Viridian",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_OchreJellySlime",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_FireAmber",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_SnakeFang",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_SpiderGland",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_WorgFang",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_Nothic",1,0,0,0,0,0,0,0
new treasuretable "ST_Alchemy_Loot_Rare"
new subtable "1,1"
EndLevel "5"
object category "I_ALCH_Ingredient_Loot_HillGiantFinger",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_MudMephitWing",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_WoodBark",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_PegasusFeather",1,0,0,0,0,0,0,0
object category "I_OBJ_Crystal_SylvanStone",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "6"
EndLevel "8"
object category "I_ALCH_Ingredient_Loot_DivineBoneShard",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_ImpPatagium",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_HillGiantFinger",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_CloudGiantFinger",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_KiRinHair",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_GauthEye",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_XornScales",1,0,0,0,0,0,0,0
object category "I_OBJ_Crystal_ChasmCreeper",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_EagleFeather",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_WoodBark",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_PegasusFeather",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_ScryingEye",1,0,0,0,0,0,0,0
object category "I_OBJ_Crystal_SylvanStone",1,0,0,0,0,0,0,0
object category "I_OBJ_Crystal_LolthsCandle",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_MagmaMephitHeart",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_IceMephitHeart",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_WyvernStinger",1,0,0,0,0,0,0,0
object category "I_CONS_Mushrooms_SporeTimmask",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_MyconidSpore_Haste",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_MyconidSpore_Poison",1,0,0,0,0,0,0,0
object category "I_LOOT_Underdark_HookHorrorClaw",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_ImpPatagium",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_FrostSalamander",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "9"
object category "I_ALCH_Ingredient_Loot_DivineBoneShard",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_ImpPatagium",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_CloudGiantFinger",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_KiRinHair",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_GauthEye",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_BeholderEye",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_XornScales",1,0,0,0,0,0,0,0
object category "I_OBJ_Crystal_ChasmCreeper",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_EagleFeather",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_WoodBark",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_PegasusFeather",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_ScryingEye",1,0,0,0,0,0,0,0
object category "I_OBJ_Crystal_LolthsCandle",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_Shadowcursed",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_MagmaMephitHeart",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_IceMephitHeart",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_PurpleWorm",1,0,0,0,0,0,0,0
object category "I_CONS_Mushrooms_SporeTimmask",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_MyconidSpore_Haste",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_MyconidSpore_Poison",1,0,0,0,0,0,0,0
object category "I_LOOT_Underdark_HookHorrorClaw",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_ImpPatagium",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_FrostSalamander",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Herb_NightOrchid",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_BehirScales",1,0,0,0,0,0,0,0
new treasuretable "Ingredient_Alchemy_Common"
new subtable "1,1"
object category "T_ST_Alchemy_Herb",1,0,0,0,0,0,0,0
object category "T_ST_Alchemy_Mushroom_Common",1,0,0,0,0,0,0,0
object category "T_ST_Alchemy_Loot_Common",1,0,0,0,0,0,0,0
new treasuretable "Ingredient_Alchemy_Rare"
new subtable "1,1"
object category "T_ST_Alchemy_Herb_Rare",1,0,0,0,0,0,0,0
object category "T_ST_Alchemy_Mushroom_Rare",1,0,0,0,0,0,0,0
object category "T_ST_Alchemy_Loot_Rare",1,0,0,0,0,0,0,0
new treasuretable "Supply_Alchemy_Loot_Common"
new subtable "2,1; 3,2; 4,1; 5,1"
object category "T_ST_Alchemy_Loot_Common",1,0,0,0,0,0,0,0
new treasuretable "Supply_Alchemy_Loot_Rare"
new subtable "2,1; 3,2; 4,1; 5,1"
object category "T_ST_Alchemy_Loot_Rare",1,0,0,0,0,0,0,0
new treasuretable "Supply_Alchemy_Common"
new subtable "1,1"
object category "T_Supply_Alchemy_Herbs",1,0,0,0,0,0,0,0
object category "T_Supply_Alchemy_Mushrooms_Common",1,0,0,0,0,0,0,0
object category "T_Supply_Alchemy_Loot_Common",1,0,0,0,0,0,0,0
new treasuretable "Supply_Alchemy_Rare"
new subtable "1,1"
object category "T_Supply_Alchemy_Herbs_Rare",1,0,0,0,0,0,0,0
object category "T_Supply_Alchemy_Mushrooms_Rare",1,0,0,0,0,0,0,0
object category "T_Supply_Alchemy_Loot_Rare",1,0,0,0,0,0,0,0
new treasuretable "Alchemy_Potion_Healing"
new subtable "1,1"
EndLevel "4"
object category "I_OBJ_Potion_Healing",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "5"
EndLevel "7"
object category "I_OBJ_Potion_Healing",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Healing_Greater",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "8"
EndLevel "10"
object category "I_OBJ_Potion_Healing_Greater",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Healing_Superior",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "11"
object category "I_OBJ_Potion_Healing_Superior",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Healing_Supreme",1,0,0,0,0,0,0,0
new treasuretable "Supply_Alchemy_Potion_Healing"
new subtable "1,1"
object category "T_Alchemy_Potion_Healing_Supply",1,0,0,0,0,0,0,0
new treasuretable "Alchemy_Potion_Elixir_1"
new subtable "1,1"
object category "I_ALCH_Solution_Elixir_Barkskin",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Elixir_Enlarge",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Of_Heroism",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Elixir_Alertness",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Elixir_Concentration",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Elixir_Bloodlust",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Elixir_Meditation",2,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Elixir_Meditation_Greater",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Of_Fire_Resistance",2,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Of_Lightning_Resistance",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Of_Poison_Resistance",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Elixir_Darkvision",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Of_Hill_Giant_Strength",1,0,0,0,0,0,0,0
new treasuretable "Alchemy_Potion_Elixir_2"
new subtable "1,1"
object category "I_OBJ_Potion_Of_Necrotic_Resistance",2,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Elixir_ArcaneAcuity",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Elixir_Criticals",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Elixir_Freedom",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Elixir_SeeInvisible",2,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Elixir_Meditation_Superior",1,0,0,0,0,0,0,0
new treasuretable "Alchemy_Potion_Elixir_3"
new subtable "1,1"
object category "I_OBJ_Potion_Of_Psychic_Resistance",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Of_Cloud_Giant_Strength",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Elixir_Meditation_Supreme",1,0,0,0,0,0,0,0
new treasuretable "Alchemy_Potion_Elixir"
new subtable "1,1"
StartLevel "1"
EndLevel "5"
object category "T_Alchemy_Potion_Elixir_1",1,0,0,0,0,0,0,0
object category "T_Alchemy_Potion_Elixir_2",0,0,0,0,0,0,0,0
object category "T_Alchemy_Potion_Elixir_3",0,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "6"
EndLevel "7"
object category "T_Alchemy_Potion_Elixir_1",1,0,0,0,0,0,0,0
object category "T_Alchemy_Potion_Elixir_2",1,0,0,0,0,0,0,0
object category "T_Alchemy_Potion_Elixir_3",0,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "9"
object category "T_Alchemy_Potion_Elixir_1",1,0,0,0,0,0,0,0
object category "T_Alchemy_Potion_Elixir_2",2,0,0,0,0,0,0,0
object category "T_Alchemy_Potion_Elixir_3",1,0,0,0,0,0,0,0
new treasuretable "Supply_Alchemy_Potion_Elixir"
new subtable "2,1;3,1;4,1"
object category "T_Alchemy_Potion_Elixir",1,0,0,0,0,0,0,0
new treasuretable "Alchemy_Potion_Utility"
new subtable "1,1"
StartLevel "1"
EndLevel "5"
object category "I_OBJ_Potion_Of_Animal_Speaking",2,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Potion_DetectThoughts",2,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Potion_FeatherFall",2,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Potion_Jump",2,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Gaseous_Form",0,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Of_Speed",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Of_Invisibility",1,0,0,0,0,0,0,0
object category "I_OBJ_Antitoxin",2,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Potion_Remedy",0,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Potion_Flying",0,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Of_Radiant_Resistance",0,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "6"
EndLevel "8"
object category "I_OBJ_Potion_Of_Animal_Speaking",2,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Potion_DetectThoughts",2,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Potion_FeatherFall",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Potion_Jump",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Gaseous_Form",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Of_Speed",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Of_Invisibility",1,0,0,0,0,0,0,0
object category "I_OBJ_Antitoxin",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Potion_Remedy",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Potion_Flying",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Of_Radiant_Resistance",0,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "9"
object category "I_OBJ_Potion_Of_Animal_Speaking",2,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Potion_DetectThoughts",2,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Potion_FeatherFall",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Potion_Jump",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Gaseous_Form",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Of_Speed",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Of_Invisibility",1,0,0,0,0,0,0,0
object category "I_OBJ_Antitoxin",0,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Potion_Remedy",2,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Potion_Flying",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Of_Radiant_Resistance",1,0,0,0,0,0,0,0
new treasuretable "Supply_Alchemy_Potion_Utility"
new subtable "2,1;3,1;4,1"
object category "T_Alchemy_Potion_Utility",1,0,0,0,0,0,0,0
new treasuretable "Alchemy_Oil"
new subtable "1,1"
StartLevel "1"
EndLevel "5"
object category "I_ALCH_Solution_Oil_AttackBuff",2,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Oil_DamageAttackBuff",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Oil_RemoveResistanceFire",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Oil_Wizardsbane",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Oil_Reduce",1,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Oil_Combustion",0,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Oil_Bane",0,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "6"
